index,value
156,11.17248223
157,11.19010454
158,11.20010924
159,11.20474325
160,11.19638788
161,11.22284186
162,11.21295258
163,11.19977905
164,11.225132
165,11.22463372
166,11.2156325
167,11.25726746
168,11.20819836
169,11.20279521
170,11.24407171
171,11.22296786
172,11.23098453
173,11.21602452
174,11.23669124
175,11.21971706
176,11.21818567
177,11.23718829
178,11.20347877
179,11.21320938
180,11.21716724
181,11.2118193
182,11.21546804
183,11.22922198
184,11.21573068
185,11.22251598
186,11.22738526
187,11.21693393
188,11.22891649
189,11.22549587
190,11.23019103
191,11.20744084
192,11.20751175
193,11.21388213
194,11.22092018
195,11.22956215
196,11.18704912
197,11.16787887
198,11.14790873
199,11.11893132
200,11.10567508
201,11.12577081
202,11.16713566
203,11.19584904
204,11.24346627
205,11.23695063
206,11.2059907
207,11.19813072
208,11.23160637
209,11.23734755
210,11.20119108
211,11.21636525
212,11.1835647
213,11.20864626
214,11.20808932
215,11.18498703
216,11.22246931
217,11.21294606
218,11.18821338
219,11.18947018
220,11.1846569
221,11.19157162
222,11.18085935
223,11.18689798
224,11.22257174
225,11.19301991
226,11.19760033
227,11.19399308
228,11.22733805
229,11.17511876
230,11.20020367
231,11.20920587
232,11.20752046
233,11.18915779
234,11.21751953
235,11.20211648
236,11.21118004
237,11.21308963
238,11.18728569
239,11.19939315
240,11.19142501
241,11.24174525
242,11.21365739
243,11.19825633
244,11.21616693
245,11.17596787
246,11.20021061
247,11.2314278
248,11.20614724
249,11.20840793
250,11.19636753
251,11.22121908
252,11.23438775
253,11.21291016
254,11.1964465
255,11.19265404
256,11.19152741
257,11.19393367
258,11.18402096
259,11.21840284
260,11.20748869
261,11.24879963
262,11.22145795
263,11.23687535
264,11.25045965
265,11.24267437
266,11.22618863
267,11.19392992
268,11.23933089
269,11.24147073
270,11.22040042
271,11.21819208
272,11.2154054
273,11.21895486
274,11.1893325
275,11.22651145
276,11.21235106
277,11.21479595
278,11.20992885
279,11.18950764
280,11.21054312
281,11.24411356
282,11.19801412
283,11.22536627
284,11.19599278
285,11.21852814
286,11.23196428
287,11.19492062
288,11.18919375
289,11.2039015
290,11.20995255
291,11.1815895
292,11.19856698
293,11.21317105
294,11.21300886
295,11.25971432
296,11.23870944
297,11.23510694
298,11.21385368
299,11.22858531
300,11.21552177
301,11.17822026
302,11.20137123
303,11.20686115
304,11.18299668
305,11.19048132
306,11.18914357
307,11.18988395
308,11.20098313
309,11.20774102
310,11.26324881
311,11.24401722
312,11.22252349
313,11.20862939
314,11.2216114
315,11.22627712
316,11.1108848
317,11.03333228
318,11.06023773
319,10.96721841
320,11.08143423
321,11.05925645
322,11.12784626
323,10.89153266
324,10.88306392
325,10.94173951
326,10.93956516
327,10.95189031
328,10.7773606
329,10.83117162
330,10.85633181
331,10.77995335
332,10.77033744
333,10.82033648
334,10.91838639
335,10.91289839
336,10.90957723
337,10.88681247
338,10.79346627
339,10.75539187
340,10.5945554
341,10.69414836
342,10.693229
343,10.67871486
344,10.65151892
345,10.66949821
346,10.58860361
347,10.56675215
348,10.59585811
349,10.46241132
350,10.50959076
351,10.45199135
352,10.51749717
353,10.47835507
354,10.48191993
355,10.5494419
356,10.62994823
357,10.61244599
358,10.64246316
359,10.72132581
360,10.49221219
361,10.55868529
362,10.7253008
363,10.87811509
364,11.06398285
365,11.07555281
366,10.89550127
367,10.68759473
368,10.72967159
369,10.79685535
370,10.50648325
371,10.35131578
372,10.36089493
373,10.35899725
374,10.24783895
375,10.19406367
376,10.15494549
377,10.23370384
378,10.37001528
379,10.13401225
380,10.09018707
381,10.12701708
382,10.05761238
383,10.09434463
384,10.08155234
385,9.986640932
386,10.07415259
387,10.07251881
388,10.08383013
389,9.975017571
390,9.8743585
391,9.96132304
392,10.01032934
393,9.943111381
394,10.00505796
395,10.17115726
396,10.13370905
397,10.10093385
398,10.18710118
399,10.18373097
400,10.11535918
401,10.13721027
402,10.2299517
403,10.13268063
404,10.15486062
405,10.15737076
406,10.0937314
407,10.04943863
408,10.07405192
409,10.11560539
410,10.06432927
411,10.0834179
412,10.10185459
413,10.10462832
414,10.01243077
415,10.07733517
416,9.96255594
417,9.943644285
418,9.9548117
419,9.930060256
420,9.897921981
421,9.871628684
422,9.882421003
423,9.881084535
424,9.902040562
425,9.895549563
426,9.906715668
427,9.932888975
428,10.00838829
429,10.05390778
430,10.12514498
431,10.19151165
432,10.19315947
433,10.21468781
434,10.17137635
435,10.17240716
436,10.19148549
437,10.17632228
438,10.222836
439,10.19260242
440,10.16767748
441,10.24329972
442,10.13767393
443,10.03958584
444,10.0784623
445,10.20743156
446,10.21583371
447,10.16326824
448,10.21348283
449,10.15936274
450,10.07849515
451,10.08295903
452,10.17157182
453,10.08016122
454,10.11100088
455,10.07695414
456,9.957515006
457,9.91463707
458,9.907642647
459,9.712737127
460,9.535010009
461,9.498187383
462,9.581465184
463,9.510126722
464,9.295235388
465,9.220556339
466,9.246092786
467,9.266198999
468,9.293377157
469,9.118729571
470,9.060797933
471,9.055288106
472,9.108872623
473,9.099225149
474,9.152368255
475,9.168407314
476,9.113981636
477,9.069398407
478,9.068173226
479,9.07804458
480,9.048319466
481,9.060570683
482,9.103642338
483,9.112642135
484,9.058051017
485,9.179150259
486,9.224871566
487,9.323903035
488,9.274409825
489,9.293998675
490,9.33577628
491,9.302161934
492,9.3008565
493,9.25198439
494,9.138995028
495,9.224544829
496,9.263312008
497,9.18099178
498,9.212307565
499,9.214990085
500,9.196138011
501,9.1821965
502,9.181505501
503,9.09847265
504,9.173692215
505,9.073743099
506,9.184836006
507,9.294034001
508,9.199510284
509,9.198387008
510,9.141119738
511,9.082544771
512,9.087365613
513,9.245223229
514,8.4106275
515,8.069777094
516,8.024703408
517,7.897270226
518,7.940324786
519,8.036112168
520,8.218866972
521,8.19623555
522,8.182774325
523,8.249490795
524,8.206705297
525,8.26091559
526,8.420481748
527,8.5113909
528,8.272313098
529,8.253822678
530,8.167003182
531,8.148946332
532,8.133477457
533,8.148959737
534,8.169413125
535,8.108272919
536,8.110478591
537,8.107185024
538,8.219420799
539,8.268476886
540,8.881745762
541,9.560740585
542,9.641600968
543,9.557330782
544,9.520321687
545,9.467189712
546,9.475623235
547,9.526532375
548,9.524738633
549,9.450467315
550,9.493115613
551,9.564861786
552,9.648304417
553,9.425977411
554,8.914350011
555,8.641085599
556,8.658979574
557,8.707496485
558,8.737214843
559,9.307582868
560,9.482455009
561,9.453715125
562,9.440980042
563,9.44154285
564,9.312005883
565,9.23948536
566,9.284885208
567,9.284910584
568,9.227781976
569,9.22971219
570,9.230336677
571,9.286659168
572,9.241618445
573,9.192460663
574,9.222457977
575,9.217801527
576,9.273415425
577,9.173115212
578,9.274523064
579,9.081171264
580,9.04214541
581,8.991834554
582,9.019442431
583,9.0530931
584,9.015873349
585,8.998771792
586,9.026964525
587,9.026231902
588,9.024017382
589,9.025923161
590,8.987445762
591,9.051344556
592,9.070138687
593,9.220480748
594,9.233872174
595,9.225048108
596,9.244196792
597,9.160097808
598,9.175933932
599,9.171139529
600,9.157035923
601,9.233829257
602,9.192214263
603,9.170478008
604,9.21754641
605,9.292515211
606,9.260129634
607,9.30084589
608,9.209709607
609,9.166341842
610,9.239540694
611,9.263677376
612,9.267230637
613,9.266868006
614,9.290391573
615,9.345409209
616,9.294705691
617,9.246255536
618,9.219920425
619,9.218301641
620,9.192549665
621,9.177980391
622,9.260095968
623,9.236853764
624,9.225769491
625,9.108982513
626,8.988201954
627,8.996492565
628,8.946180724
629,8.982576897
630,9.035825896
631,9.023635713
632,9.043391964
633,9.077122254
634,9.197436132
635,9.295798026
636,9.296472639
637,9.180640132
